customer_id,name,email_hash,phone_hash
1,Customer 1,,
2,Customer 2,,
3,Customer 3,,
4,Customer 4,,
5,Customer 5,,
6,Customer 6,,
7,Customer 7,,
8,Customer 8,,
9,Customer 9,,
10,Customer 10,,
11,Customer 11,,
12,Customer 12,,
13,Customer 13,,
14,Customer 14,,
15,Customer 15,,
16,Customer 16,,
17,Customer 17,,
18,Customer 18,,
19,Customer 19,,
20,Customer 20,,
21,Customer 21,,
22,Customer 22,,
23,Customer 23,,
24,Customer 24,,
25,Customer 25,,
26,Customer 26,,
27,Customer 27,,
28,Customer 28,,
29,Customer 29,,
30,Customer 30,,
31,Customer 31,,
32,Customer 32,,
33,Customer 33,,
34,Customer 34,,
35,Customer 35,,
36,Customer 36,,
37,Customer 37,,
38,Customer 38,,
39,Customer 39,,
40,Customer 40,,
41,Customer 41,,
42,Customer 42,,
43,Customer 43,,
44,Customer 44,,
45,Customer 45,,
46,Customer 46,,
47,Customer 47,,
48,Customer 48,,
49,Customer 49,,
50,Customer 50,,
51,Customer 51,,
52,Customer 52,,
53,Customer 53,,
54,Customer 54,,
55,Customer 55,,
56,Customer 56,,
57,Customer 57,,
58,Customer 58,,
59,Customer 59,,
60,Customer 60,,
61,Customer 61,,
62,Customer 62,,
63,Customer 63,,
64,Customer 64,,
65,Customer 65,,
66,Customer 66,,
67,Customer 67,,
68,Customer 68,,
69,Customer 69,,
70,Customer 70,,
71,Customer 71,,
72,Customer 72,,
73,Customer 73,,
74,Customer 74,,
75,Customer 75,,
76,Customer 76,,
77,Customer 77,,
78,Customer 78,,
79,Customer 79,,
80,Customer 80,,
81,Customer 81,,
82,Customer 82,,
83,Customer 83,,
84,Customer 84,,
85,Customer 85,,
86,Customer 86,,
87,Customer 87,,
88,Customer 88,,
89,Customer 89,,
90,Customer 90,,
91,Customer 91,,
92,Customer 92,,
93,Customer 93,,
94,Customer 94,,
95,Customer 95,,
96,Customer 96,,
97,Customer 97,,
98,Customer 98,,
99,Customer 99,,
100,Customer 100,,
101,Customer 101,,
102,Customer 102,,
103,Customer 103,,
104,Customer 104,,
105,Customer 105,,
106,Customer 106,,
107,Customer 107,,
108,Customer 108,,
109,Customer 109,,
110,Customer 110,,
111,Customer 111,,
